Eruption period	Comment	SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total
Dec.14	HB7_CPX8_8 	51.31	0.6796	2.04	8.77	0.25	15.38	19.47	0.2309	0.0368		98.1673
Dec.14	HB7_CPX9_1 	50.17	0.8371	3.91	6.75	0.1663	15.91	20.04	0.2841	0.2404		98.3079
Dec.14	HB7_CPX9_2 	51.02	0.6352	3.16	6.55	0.1776	15.82	20.11	0.2342	0.1851		97.8921
Dec.14	HB7_CPX9_3 	51.63	0.6486	2.02	8.57	0.2304	15.36	19.25	0.2251	0.0282		97.9623
Dec.14	HB7_CPX10_1 	50.86	0.6457	3.61	6.8	0.1543	16.08	18.96	0.2557	0.2155		97.5812
Dec.14	HB7_CPX10_2 	51.46	0.6373	1.94	8.55	0.2351	15.43	19.24	0.2002	0.0753		97.7679
Jan.15	HB8_CPX1_1 	49.89	0.8844	3.82	8.28	0.1936	16.1	19.18	0.2171	0.151		98.7161
Jan.15	HB8_CPX1_2 	50.58	0.6727	3.14	7.45	0.2005	16.34	20	0.1979	0.2011		98.7822
Jan.15	HB8_CPX2_1 	48.35	0.7771	3.54	7.8	0.1757	16.21	18.88	0.2483	0.1902		96.1713
Jan.15	HB8_CPX2_2 	50.48	0.6413	3.03	7.31	0.1605	16.39	19.86	0.2109	0.1973		98.28
Jan.15	HB8_CPX2_3 	50.63	0.6549	2.05	9.08	0.2285	15.88	19.25	0.1783	0.077		98.0287
Jan.15	HB8_CPX3_1 	50.32	0.6535	3.87	7.63	0.1924	16.32	19.11	0.2402	0.2718		98.6079
Jan.15	HB8_CPX3_2 	49.96	0.7746	3.73	7.98	0.2163	15.79	19.55	0.2362	0.1334		98.3705
Jan.15	HB8_CPX3_3 	50.38	0.6705	3.04	7.3	0.1413	16.23	19.89	0.2191	0.1826		98.0535
Jan.15	HB8_CPX3_4 	50.54	0.6564	3.01	7.46	0.2167	16.25	19.77	0.2014	0.1523		98.2568
Jan.15	HB8_CPX3_5 	50.69	0.6277	1.97	9.02	0.2323	16.1	19.03	0.2132	0.034		97.9172
Jan.15	HB8_CPX4_1 	49.05	0.8392	3.73	7.6	0.2027	16.05	19.31	0.2087	0.2636		97.2542
Jan.15	HB8_CPX4_2 	49.45	0.7207	3.92	7.36	0.1838	15.83	19.79	0.2527	0.2771		97.7843
Jan.15	HB8_CPX4_3 	48.7	0.8269	3.86	7.77	0.2094	16	19.24	0.2491	0.1986		97.054
Jan.15	HB8_CPX4_4 	49.65	0.7146	3.89	7.51	0.1817	15.81	19.73	0.2612	0.26		98.0075
Jan.15	HB8_CPX4_5 	49.83	0.707	3.66	7.77	0.2018	16.05	19.34	0.229	0.1563		97.9441
Jan.15	HB8_CPX4_6 	50.36	0.6136	3.13	7.3	0.1806	16.22	19.89	0.207	0.2094		98.1106
Jan.15	HB8_CPX5_1 	50.15	0.7477	3.43	7.37	0.1531	15.66	20.37	0.2161	0.1326		98.2295
Jan.15	HB8_CPX5_2 	49.26	0.7951	3.82	8.16	0.1838	15.44	19.57	0.2787	0.1016		97.6092
Jan.15	HB8_CPX5_3 	50.26	0.6535	3.15	7.36	0.1843	15.69	20.21	0.2275	0.1292		97.8645
Jan.15	HB8_CPX5_4 	50.95	0.6632	1.97	9.14	0.2504	15.78	19.2	0.207	0.0734		98.234
Jan.15	HB8_CPX6_1 	50.21	0.8296	3.93	7.19	0.1869	15.7	20.23	0.2334	0.2241		98.734
Jan.15	HB8_CPX6_2 	50.61	0.7032	3.28	7.36	0.1761	16.38	19.7	0.2259	0.2074		98.6426
Jan.15	HB8_CPX6_3 	50.57	0.7709	3.32	7.79	0.2131	16.18	19.52	0.2392	0.1379		98.7411
Jan.15	HB8_CPX6_4 	51.47	0.6975	2.12	9.25	0.2329	15.9	19.05	0.2335	0.0749		99.0288
Jan.15	HB8_CPX6_5 	50.54	0.9541	2.62	10.07	0.2122	14.98	18.79	0.2243	0.0593		98.4499
Jan.15	HB8_CPX7_1 	50.14	0.7707	4.04	7.26	0.1949	15.65	20.11	0.2566	0.2791		98.7013
Jan.15	HB8_CPX7_2 	50.67	0.7893	3.63	7.57	0.157	15.69	20.34	0.2296	0.1856		99.2615
Jan.15	HB8_CPX7_3 	51.1	0.6647	2.97	6.7	0.1862	15.86	21	0.2375	0.2079		98.9263
Jan.15	HB8_CPX7_4 	50.57	0.7899	3.43	7.3	0.1571	15.55	20.73	0.2097	0.1323		98.869
Jan.15	HB8_CPX7_5 	50.76	0.7179	3.17	7.24	0.1901	15.68	20.8	0.2436	0.1476		98.9492
Jan.15	HB8_CPX7_6 	50.6	0.7993	3.73	7.71	0.1591	15.35	20.43	0.2212	0.1026		99.1022
Jan.15	HB8_CPX7_7 	51.65	0.6928	2.75	8.94	0.2333	16.59	17.96	0.2339	0.0881		99.1381
Jan.15	HB8_CPX8_1 	50.56	0.8667	3.79	7.97	0.1921	16.44	18.63	0.2532	0.3001		99.0021
Jan.15	HB8_CPX8_2 	50.41	0.8935	4.04	7.45	0.1813	15.91	19.68	0.2479	0.2819		99.0946
Jan.15	HB8_CPX8_3 	51.33	0.6272	3.02	7.3	0.158	16.53	19.81	0.2166	0.2252		99.217
Jan.15	HB8_CPX8_4 	51.66	0.6627	2.09	8.92	0.222	15.79	19.52	0.2072	0.0619		99.1338
Jan.15	HB8_CPX9_1 	50.32	0.8097	3.57	7.3	0.1669	16.01	20.07	0.2494	0.2358		98.7318
Jan.15	HB8_CPX9_2 	50.56	0.7939	3.07	7.78	0.1918	15.8	20.34	0.2112	0.1096		98.8565
Jan.15	HB8_CPX10_1 	50.61	0.6436	3.81	7.42	0.2024	16.4	19.23	0.268	0.2732		98.8572
Jan.15	HB8_CPX10_2 	50.61	0.7828	3.76	7.87	0.1805	15.9	19.66	0.2644	0.1138		99.1415
Jan.15	HB8_CPX10_3 	51.15	0.6243	3.12	7.04	0.1714	15.75	20.1	0.2275	0.1558		98.339
