Eruption period	Comment	SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total
Oct.14	HB9_cpx6_6 	51.1	1.0186	3.86	7.76	0.1785	15.37	19.23	0.2488	0.0912	0.0265	98.8836
Oct.14	HB9_cpx6_7 	51.24	0.9485	3.79	7.75	0.1909	15.33	19.27	0.2526	0.1092	0.0047	98.8859
Oct.14	HB9_cpx6_8 	51.03	0.9654	3.56	7.89	0.1969	15.35	19.42	0.2402	0.0751	0.0312	98.7588
Oct.14	HB9_cpx6_9 	51.53	0.7346	3.22	7.1	0.1861	15.71	19.61	0.2519	0.1446	0.0324	98.5196
Oct.14	HB9_cpx6_10 	51.57	0.7741	2.55	8.58	0.2261	15.49	18.95	0.2418	0.0552	0.0092	98.4464
Oct.14	HB9_cpx7_1 	52.03	0.556	2.73	6.79	0.1806	16.52	18.93	0.1957	0.2308	0.0042	98.1673
Oct.14	HB9_cpx7_2 	52.26	0.5416	2.63	6.75	0.1643	16.47	19.39	0.2114	0.1971	0.0238	98.6382
Oct.14	HB9_cpx7_3 	51.58	0.71	3.24	7.03	0.1947	16.01	19.31	0.2486	0.236	0.0153	98.5746
Oct.14	HB9_cpx7_4 	50.9	0.8812	3.76	7.53	0.181	15.86	19.01	0.2444	0.1971	0.025	98.5887
Oct.14	HB9_cpx7_5 	51.86	0.6426	3.04	6.71	0.196	15.97	19.75	0.237	0.2201	0.0314	98.6571
Oct.14	HB9_cpx7_6 	51.62	0.6599	3.15	6.91	0.173	15.98	19.75	0.225	0.2011	0.0092	98.6782
Oct.14	HB9_cpx7_7 	51.1	0.9581	3.16	8.75	0.2156	15.22	18.57	0.2108	0.0703	0.0209	98.2757
Oct.14	HB9_cpx7_8 	52.22	0.6966	2.03	8.52	0.2329	15.52	19.12	0.2158	0.0466	0.0149	98.6168
Oct.14	HB9_cpx_8_1 	53.44	0.408	1.723	7.6	0.2252	18.23	16.83	0.1729	0.1484	0.021	98.7985
Oct.14	HB9_cpx_8_2 	52.5	0.5062	2.34	6.92	0.1674	16.71	19.1	0.2106	0.1844	0.0153	98.6539
Oct.14	HB9_cpx_8_3 	51.29	0.7594	3.28	7.02	0.1784	15.52	19.99	0.2418	0.197	0.0027	98.4793
Oct.14	HB9_cpx_8_4 	50.78	0.9134	3.95	7.79	0.1989	14.99	19.72	0.2439	0.1278	0.0432	98.7572
Oct.14	HB9_cpx_8_5 	51.63	0.7698	3.31	7.13	0.163	15.51	20.13	0.2478	0.1611	0.0044	99.0561
Oct.14	HB9_cpx_8_6 	49.68	1.4606	3.92	11.6	0.245	12.97	18.53	0.3085	0	0	98.7141
Oct.14	HB9_cpx_8_7 	52.42	0.7462	2.29	8.43	0.2188	15.45	19.36	0.2097	0.0175	0.0257	99.1679
Dec.14	HB7_cpx9_1 	51.86	0.7252	3.85	7.09	0.1879	15.9	18.81	0.2252	0.2382	0.0465	98.933
Dec.14	HB7_cpx9_2 	51.64	0.8114	4.04	7.06	0.1974	15.85	18.85	0.2713	0.3095	0.0119	99.0415
Dec.14	HB7_cpx9_3	51.73	0.7708	3.98	7.09	0.185	15.84	19	0.27	0.3057	0	99.1715
Dec.14	HB7_cpx9_4	52.27	0.6433	3.28	6.76	0.1663	16.07	19.28	0.2551	0.3076	0.0101	99.0424
Dec.14	HB7_cpx9_5	52.39	0.6016	3.03	6.87	0.1788	16.21	19.63	0.2383	0.216	0.0095	99.3742
Dec.14	HB7_cpx9_6	52.66	0.643	2.68	7.39	0.1937	15.88	19.33	0.207	0.1158	0.0224	99.1219
Dec.14	HB7_cpx9_7	52.64	0.7189	2.35	8.82	0.2185	15.27	18.9	0.2235	0.0374	0.0095	99.1878
Dec.14	HB7_cpx2_1 	51.16	0.4255	3.12	4.52	0.1422	16.22	20.58	0.191	1.0177	0.0107	97.3871
Dec.14	HB7_cpx2_2 	52.23	0.4896	2.26	6.44	0.1657	16.77	19.08	0.1634	0.2566	0.028	97.8833
Dec.14	HB7_cpx2_3 	51.69	0.6408	3.29	6.86	0.1648	16.11	19.1	0.2221	0.1845	0.0302	98.2924
Dec.14	HB7_cpx2_4 	53.41	0.4377	1.811	7.64	0.215	17.59	17.46	0.1673	0.1097	0.0268	98.8675
Dec.14	HB7_cpx2_5 	53.13	0.4484	1.96	6.73	0.202	16.76	18.93	0.1992	0.1363	0.0282	98.5241
Dec.14	HB7_cpx2_6 	52.95	0.5132	1.3825	8.85	0.2354	16.74	17.44	0.1358	0.0486	0.0301	98.3256
Dec.14	HB7_cpx3_1 	51.06	0.7295	4.08	7.07	0.1805	15.56	18.87	0.2867	0.347	0.0162	98.1999
Dec.14	HB7_cpx3_2 	51.35	0.7271	3.45	6.78	0.1777	15.76	19.23	0.2203	0.3202	0.0112	98.0265
Dec.14	HB7_cpx3_3 	51.29	0.6924	3.19	6.61	0.1712	15.7	19.84	0.2272	0.2515	0.0153	97.9876
Dec.14	HB7_cpx3_4 	50.47	0.9278	3.76	7.19	0.1556	15.14	19.52	0.2419	0.2006	0.0216	97.6275
Dec.14	HB7_cpx3_5 	49.79	1.2015	4.43	7.76	0.1933	14.91	19.26	0.2585	0.1443	0.0051	97.9527
Dec.14	HB7_cpx3_6 	51.1	0.8271	3.36	7.08	0.1688	15.47	19.62	0.2284	0.2097	0.0127	98.0767
Dec.14	HB7_cpx3_7 	50.82	0.9619	3.73	7.42	0.1732	15.22	19.64	0.2291	0.1425	0.0111	98.3478
Dec.14	HB7_cpx3_8 	51.8	0.73	3.21	7.14	0.1661	15.66	19.6	0.2566	0.1609	0.0268	98.7504
Dec.14	HB7_cpx3_9 	51.22	0.9687	3.66	7.78	0.2083	15.29	19	0.2657	0.1077	0.0212	98.5216
Dec.14	HB7_cpx3_10 	52.05	0.8271	2.54	8.37	0.2154	15.43	18.76	0.2303	0.077	0.0078	98.5076
Dec.14	HB7_cpx4_1 	51.18	0.7756	4.06	7.4	0.1734	16.2	18.13	0.2425	0.3403	0.0375	98.5393
Dec.14	HB7_cpx4_2 	50.83	0.8599	4.08	6.98	0.1855	15.34	19.6	0.2595	0.2983	0.0109	98.4441
Dec.14	HB7_cpx4_3 	51.01	0.7964	3.69	6.75	0.1614	15.53	19.76	0.2136	0.3241	0.0201	98.2556
Dec.14	HB7_cpx4_4 	50.66	0.9349	4.01	7.45	0.1908	15.33	19.11	0.2524	0.1792	1.00E-04	98.1174
Dec.14	HB7_cpx4_5 	50.36	0.9786	4.04	7.73	0.1929	15.4	18.92	0.2493	0.1131	0.0033	97.9872
Dec.14	HB7_cpx4_6 	51.53	0.6681	3.2	6.77	0.1735	15.92	19.58	0.2265	0.2198	0.0302	98.3181
Dec.14	HB7_cpx4_7 	50.76	1.0444	4.12	7.66	0.1949	15.31	19.16	0.2577	0.1382	0.0339	98.6791
Dec.14	HB7_cpx4_8 	51.17	0.8584	3.66	7.28	0.2005	15.48	19.38	0.2543	0.1634	0	98.4466
Dec.14	HB7_cpx4_9 	52.05	0.6791	3.15	7.02	0.1755	15.75	19.55	0.2268	0.1577	0.0345	98.7936
Dec.14	HB7_cpx4_10 	52.85	0.7051	2.12	8.81	0.2038	15.31	18.79	0.1948	0.0328	0.0093	99.0258
Dec.14	HB7_cpx4_11 	52.89	0.722	2.05	8.64	0.2167	15.44	19.02	0.2331	0.0545	0.0475	99.3138
Dec.14	HB7_cpx5_1 	50.06	0.8538	4.26	7.59	0.2059	16.11	17.69	0.2261	0.4334	0.0254	97.4546
Dec.14	HB7_cpx5_2 	50.07	0.9467	4.28	7.17	0.1811	15.47	18.89	0.232	0.3862	0.0147	97.6407
Dec.14	HB7_cpx5_3 	50.34	0.8463	3.64	7.1	0.1798	15.75	19.07	0.2521	0.3074	0.0334	97.519
Dec.14	HB7_cpx5_4 	51.2	0.6578	2.96	7.18	0.1907	16.15	18.66	0.2301	0.2102	0.0082	97.447
Dec.14	HB7_cpx5_5 	50.38	0.8999	4.02	8.52	0.2211	16.04	17.49	0.2348	0.0845	0.0301	97.9204
Dec.14	HB7_cpx5_6 	50.45	0.8921	3.72	8.51	0.2269	16.13	17.37	0.2316	0.0891	0.0147	97.6344
Dec.14	HB7_cpx5_7 	51.47	0.6525	3.04	7.51	0.1785	15.95	18.82	0.251	0.1339	0.0099	98.0158
Dec.14	HB7_cpx5_8 	50.42	1.1577	3.52	11.25	0.2877	15.32	15.95	0.2529	0.0256	0.0115	98.1954
Dec.14	HB7_cpx5_9 	51.93	0.6818	2.06	8.7	0.2327	15.38	18.82	0.2105	0.045	0.0338	98.0938
Dec.14	HB7_cpx6_1 	50.95	0.807	3.63	8.07	0.2127	15.55	18.73	0.2522	0.0956	0.0164	98.3139
Dec.14	HB7_cpx6_2 	51.05	0.7616	3.15	7.76	0.2002	15.54	19.07	0.2306	0.0748	0.0239	97.8611
Dec.14	HB7_cpx6_3 	51.11	0.7268	3.07	7.81	0.1977	15.67	19.01	0.2125	0.0801	0.0352	97.9223
Dec.14	HB7_cpx6_4 	51	0.6347	2.95	7.07	0.1853	16.06	19.02	0.2266	0.2015	0.0246	97.3727
Dec.14	HB7_cpx6_5 	51.22	0.6462	2.98	7.24	0.1864	16.1	18.83	0.2415	0.196	0.027	97.6671
Dec.14	HB7_cpx6_6 	51.18	0.7062	3.27	7.13	0.1758	15.72	19.37	0.2447	0.2039	0.0121	98.0127
Dec.14	HB7_cpx6_7 	50.69	1.0202	3.35	9.86	0.2708	15.76	16.79	0.1964	0.0442	0.0395	98.0211
Dec.14	HB7_cpx6_8 	51.53	0.773	2.69	9.36	0.2342	16.12	17	0.2227	0.0685	0.0135	98.0119
Dec.14	HB7_cpx6_9 	51.76	0.7094	2.08	8.93	0.2062	15.45	18.84	0.2212	0.0292	0.0147	98.2407
Dec.14	HB7_cpx6_10 	49.34	1.3399	2.8	14.85	0.3699	14.19	14.6	0.2694	0.0053	6.00E-04	97.7651
Dec.14	HB7_cpx7_1 	49.48	0.8249	3.74	6.93	0.1793	15.54	18.86	0.2768	0.4526	0.0205	96.3041
Dec.14	HB7_cpx7_2 	50.46	0.8791	4.11	6.98	0.1823	15.51	18.92	0.2518	0.3484	0.014	97.6556
Dec.14	HB7_cpx7_3 	51	0.8095	3.5	6.88	0.1794	15.64	19.44	0.2388	0.2136	0.0064	97.9077
Dec.14	HB7_cpx7_4 	51.06	0.8294	3.68	6.93	0.1924	15.56	19.54	0.2402	0.1727	0	98.2047
Dec.14	HB7_cpx7_5 	50.48	1.0287	4.16	7.5	0.1659	15.25	19.11	0.2434	0.0853	0.0345	98.0578
Dec.14	HB7_cpx7_6 	51.38	0.769	3.34	6.93	0.1485	15.84	19.54	0.2586	0.1565	0.0259	98.3885
Dec.14	HB7_cpx7_7 	51.43	0.6731	3.18	6.65	0.1775	15.78	19.66	0.2201	0.2478	0.0237	98.0422
Dec.14	HB7_cpx7_8 	51.14	0.866	3.65	7.11	0.1974	15.51	19.47	0.2079	0.1208	0.0212	98.2933
Dec.14	HB7_cpx7_9 	51.14	0.6757	3.18	6.7	0.1697	15.69	19.72	0.211	0.2223	0.0258	97.7345
Dec.14	HB7_cpx7_10 	51.15	0.6728	3.05	6.74	0.1663	15.62	19.81	0.2289	0.1633	0.0226	97.6239
Dec.14	HB7_cpx7_11 	49.78	0.9618	3.85	7.7	0.2136	15.19	19.28	0.245	0.0626	0.0212	97.3042
Dec.14	HB7_cpx7_12 	50.51	0.8612	3.32	7.57	0.1776	15.23	19.58	0.243	0.0739	0.023	97.5887
Dec.14	HB7_cpx7_13 	50.8	0.8774	2.98	8.11	0.2283	15.42	18.84	0.1951	0.0654	0.0241	97.5403
Dec.14	HB7_cpx7_14 	51.59	0.7322	2.28	8.68	0.2052	15.02	18.91	0.2452	0.0461	0.0215	97.7302
Dec.14	HB7_cpx8_1 	49.43	0.7432	3.97	7.18	0.1889	15.45	18.72	0.2932	0.2405	0.0414	96.2572
Dec.14	HB7_cpx8_2 	49.41	0.7433	3.95	7.19	0.1755	15.34	19	0.2573	0.237	0.0293	96.3324
Dec.14	HB7_cpx8_3 	51.18	0.7687	4.13	7.05	0.1909	15.39	19.28	0.2786	0.2486	0.0089	98.5257
Dec.14	HB7_cpx8_4 	51.09	0.7161	4.06	6.92	0.1597	15.21	19.55	0.2594	0.2718	0.0169	98.2539
Dec.14	HB7_cpx8_5 	51.33	0.7482	3.88	6.94	0.1531	15.44	19.35	0.2493	0.2498	0.0305	98.3709
Dec.14	HB7_cpx8_6 	51.88	0.6566	3.18	6.72	0.157	15.8	19.9	0.231	0.2223	0.0264	98.7733
Dec.14	HB7_cpx8_7 	51.12	0.7769	3.89	7.33	0.1852	15.16	19.6	0.2845	0.1449	0.0059	98.4974
Dec.14	HB7_cpx8_8 	51.46	0.7252	3.65	7.29	0.1765	15.44	19.61	0.2486	0.1623	0.0293	98.7919
Dec.14	HB7_cpx8_9 	51.98	0.6862	3.15	7.02	0.156	15.49	19.85	0.2459	0.1338	0.017	98.7289
Dec.14	HB7_cpx8_10 	52.12	0.8788	2.52	9.13	0.2255	14.79	19.33	0.2226	0.0434	8.00E-04	99.2611
Dec.14	HB7_cpx8_11 	52.78	0.643	1.8673	8.5	0.197	15.33	19.35	0.2168	0.0531	0.0068	98.944
Jan.15	HB6_cpx1_1 	50.61	0.8802	4.21	7.05	0.1813	15.57	18.9	0.2391	0.3421	0.0173	98
Jan.15	HB6_cpx1_2 	50.94	0.8334	3.88	7.24	0.1769	15.42	19.11	0.2616	0.2262	0.0059	98.094
Jan.15	HB6_cpx1_3 	50.91	0.8845	3.96	7.44	0.1797	15.38	19.11	0.2555	0.1822	0.0056	98.3075
Jan.15	HB6_cpx1_4 	51.31	0.7185	3.57	6.97	0.1897	15.77	19.44	0.2461	0.2982	0.019	98.5315
Jan.15	HB6_cpx1_5 	51.3	0.8599	3.96	7.24	0.1856	15.43	19.18	0.2686	0.1812	0.0297	98.635
Jan.15	HB6_cpx1_6 	51.62	0.6966	3.16	6.88	0.18	15.7	19.6	0.2385	0.2272	0.008	98.3103
Jan.15	HB6_cpx1_7 	51.57	0.7023	3.22	7.09	0.1832	15.67	19.39	0.2482	0.157	0.0257	98.2564
Jan.15	HB6_cpx1_8 	48.24	2.04	5.52	9.89	0.2356	13.48	18.26	0.293	0.0212	0.034	98.0138
Jan.15	HB6_cpx1_9 	51.88	0.722	2.2	8.75	0.2166	15.39	19.07	0.2334	0.0518	0.0177	98.5315
Jan.15	HB6_cpx2_1 	52.03	0.7639	3.57	7.33	0.1748	15.73	18.73	0.23	0.2056	0.0265	98.7908
Jan.15	HB6_cpx2_2 	52.13	0.6878	3.45	7.21	0.2149	16.19	18.47	0.2871	0.2094	0.0223	98.8715
Jan.15	HB6_cpx2_3 	52.05	0.7298	3.45	7.13	0.1811	15.97	18.77	0.2463	0.222	0.0217	98.7709
Jan.15	HB6_cpx2_4 	52.35	0.6453	3	6.85	0.1533	15.82	19.29	0.238	0.229	0.0198	98.5954
Jan.15	HB6_cpx2_5 	51.84	0.7851	3.47	7.29	0.1929	15.42	19.31	0.2593	0.161	0.022	98.7503
Jan.15	HB6_cpx2_6 	51.95	0.7888	3.31	7.35	0.1864	15.4	19.52	0.2374	0.1587	0.0115	98.9128
Jan.15	HB6_cpx2_7 	52.39	0.7568	2.74	7.64	0.1714	15.78	19.01	0.2154	0.14	0.0469	98.8905
Jan.15	HB6_cpx3_1 	51.32	0.8448	4.03	7.6	0.1912	16.14	17.96	0.2493	0.2732	0.0086	98.6171
Jan.15	HB6_cpx3_2 	51.13	0.938	4.16	6.97	0.169	15.15	19.34	0.2819	0.3334	2.00E-04	98.4725
Jan.15	HB6_cpx3_3 	51.9	0.8907	4.11	7.08	0.1789	15.51	19.22	0.2937	0.3327	2.00E-04	99.5162
Jan.15	HB6_cpx3_4 	51.25	0.9466	4.27	7	0.1424	15.23	19.63	0.2514	0.3099	0.0195	99.0498
Jan.15	HB6_cpx3_5 	51.39	0.7783	4.14	7.05	0.1619	15.33	19.32	0.243	0.2547	0.0095	98.6774
Jan.15	HB6_cpx3_6 	51.43	0.7628	4.08	7.08	0.1737	14.97	19.34	0.2679	0.2373	0.0326	98.3743
Jan.15	HB6_cpx3_7 	51.68	0.7371	4	7.12	0.1669	15.32	19.28	0.2536	0.218	0.0386	98.8142
Jan.15	HB6_cpx3_8 	51.67	0.7141	3.9	6.93	0.188	15.44	19.45	0.2626	0.2337	0.034	98.8224
Jan.15	HB6_cpx3_9 	52.3	0.6088	3.19	6.6	0.1574	15.67	19.71	0.2559	0.2339	0.009	98.735
Jan.15	HB6_cpx3_10 	51.84	0.7016	3.4	7	0.1776	15.54	19.59	0.2109	0.1616	0	98.6217
Jan.15	HB6_cpx3_11 	51.74	0.7406	3.66	7.49	0.1934	15.43	19.28	0.2432	0.1406	0.024	98.9418
Jan.15	HB6_cpx3_12 	52.22	0.5983	2.77	6.85	0.1854	15.88	19.47	0.2468	0.1769	0.0203	98.4177
Jan.15	HB6_cpx3_13 	52.38	0.6346	2.95	7.06	0.1722	15.97	19.31	0.2169	0.1853	0.0078	98.8868
Jan.15	HB6_cpx3_14 	52.26	0.6537	3.06	7.36	0.2003	15.85	19.28	0.237	0.1424	0.005	99.0484
Jan.15	HB6_cpx3_15 	52.9	0.5267	2.3	6.92	0.1889	16.27	19.45	0.2262	0.1187	0.008	98.9085
Jan.15	HB6_cpx3_16 	52.7	0.5909	2.7	7.34	0.2219	16.24	18.64	0.2053	0.1285	0.0285	98.7951
Jan.15	HB6_cpx4_1 	51.63	0.7864	3.85	7.23	0.2033	15.69	18.72	0.2632	0.2491	0.0205	98.6425
Jan.15	HB6_cpx4_2 	51.73	0.8276	3.93	7.28	0.1763	15.77	18.62	0.2533	0.223	0.0197	98.8299
Jan.15	HB6_cpx4_3 	51.47	0.8992	4.12	7.13	0.17	15.29	19.11	0.2721	0.2497	0.0158	98.7268
Jan.15	HB6_cpx4_4 	51.74	0.7994	4.08	7.06	0.1671	15.45	19.46	0.3072	0.2443	0	99.308
Jan.15	HB6_cpx4_5 	51.51	0.8049	4.02	7.16	0.1792	15.54	18.92	0.2366	0.2276	0.0398	98.6381
Jan.15	HB6_cpx4_6 	51.42	0.8639	4.05	7.13	0.1721	15.31	19.37	0.2306	0.2289	0.02	98.7955
Jan.15	HB6_cpx4_7 	51.61	0.8579	4.08	7.6	0.1789	15.96	18.24	0.243	0.2474	0.0238	99.041
Jan.15	HB6_cpx4_8 	51.91	0.7998	3.99	7.52	0.1954	15.89	18.34	0.2474	0.288	0.0444	99.225
Jan.15	HB6_cpx4_9 	51.93	0.7442	3.94	7.56	0.1871	16.27	17.97	0.2455	0.2639	0.0145	99.1252
Jan.15	HB6_cpx4_10 	53.8	0.4223	2.08	7.86	0.2351	17.86	16.31	0.2189	0.1768	0.0338	98.9969
Jan.15	HB6_cpx4_11 	53.26	0.4681	2.06	6.77	0.1918	16.58	19.08	0.1976	0.1875	0.01	98.805
Jan.15	HB6_cpx4_12 	53.4	0.5907	1.9	8.95	0.2254	16.74	16.93	0.1515	0.0558	0.0197	98.9631
Jan.15	HB6_cpx4_13 	52.78	0.675	1.96	10.39	0.3242	15.88	16.68	0.1626	0.0095	0.0141	98.8754
Jan.15	HB6_cpx4_14 	53.4	0.5521	1.6946	8.81	0.2291	15.44	18.96	0.2113	0.0423	0.023	99.3624
Jan.15	HB6_cpx5_1 	51.72	0.9423	3.7	7.8	0.1942	15.5	18.62	0.2421	0.1914	0.0283	98.9383
Jan.15	HB6_cpx5_2 	51.51	0.9119	3.71	7.81	0.1826	15.47	18.62	0.2325	0.1653	0.0035	98.6158
Jan.15	HB6_cpx5_3 	52.78	0.6485	2.9	6.83	0.1677	15.99	19.52	0.2195	0.2153	0.0311	99.3021
Jan.15	HB6_cpx5_4 	51.78	0.9306	3.53	7.99	0.2168	15.4	18.75	0.235	0.1435	0.0447	99.0206
Jan.15	HB6_cpx5_5 	51.62	0.9849	3.75	7.9	0.1917	15.42	18.86	0.2324	0.132	0.031	99.122
Jan.15	HB6_cpx5_6 	52.09	0.7715	3.25	7.36	0.198	15.56	19.22	0.2527	0.1712	0.0117	98.8851
Jan.15	HB6_cpx5_7 	51.87	0.7476	3.62	7.52	0.1747	15.39	19.11	0.2555	0.185	0.0313	98.9041
Jan.15	HB6_cpx5_8 	51.89	0.754	3.59	7.44	0.1754	15.19	19.27	0.2494	0.1497	0.025	98.7335
Jan.15	HB6_cpx5_9 	51.7	0.7491	3.73	7.59	0.2049	15.42	19.16	0.2373	0.1806	0.011	98.9829
Jan.15	HB6_cpx5_10 	52.1	0.7102	3.25	7.02	0.1749	15.57	19.59	0.2171	0.1964	0.0291	98.8577
Jan.15	HB6_cpx5_11 	52.14	0.7275	3.33	7.17	0.184	15.49	19.46	0.2619	0.1835	0.0155	98.9624
Jan.15	HB6_cpx5_12 	52.79	0.5537	2.45	7.08	0.2073	16.28	19.18	0.198	0.1113	0.0446	98.8949
Jan.15	HB6_cpx5_13 	52.26	0.7457	3.12	7.47	0.1859	15.54	19.29	0.26	0.1141	0.0102	98.9959
Jan.15	HB6_cpx5_14 	52.28	0.6537	2.96	7.14	0.1894	15.49	19.81	0.2224	0.1491	0.013	98.9076
Jan.15	HB6_cpx5_15 	51.63	0.8116	3.57	7.78	0.1801	15.18	19.52	0.268	0.095	0.0135	99.0482
Jan.15	HB6_cpx5_16 	52.13	0.7267	3.06	7.47	0.1882	15.41	19.63	0.2521	0.1096	0.0119	98.9885
Jan.15	HB6_cpx5_17 	51.84	0.7911	3.39	7.79	0.2074	15.21	19.51	0.2419	0.1043	0.02	99.1047
Jan.15	HB6_cpx5_18 	52.65	0.6775	2.72	7.42	0.1756	15.26	19.91	0.2261	0.0616	0.0168	99.1176
Jan.15	HB6_cpx5_19 	51.8	0.9734	2.97	9.66	0.2313	14.64	18.28	0.2286	0.033	0.017	98.8333
Jan.15	HB6_cpx5_20 	52.73	0.668	2.08	8.78	0.2376	15.23	18.78	0.2339	0.0611	0.016	98.8166
Jan.15	HB6_cpx6_1 	53.03	0.5734	2.87	6.82	0.1676	16.13	19.16	0.2194	0.242	2.00E-04	99.2126
Jan.15	HB6_cpx6_2 	53.53	0.4807	2.15	6.98	0.1854	16.65	18.81	0.2179	0.1398	0.025	99.1688
Jan.15	HB6_cpx6_3 	54.01	0.421	1.7744	7.69	0.2129	17.91	16.5	0.1941	0.175	0.001	98.8884
Jan.15	HB6_cpx6_4 	52.45	0.6966	3.15	7.07	0.1854	15.68	19.57	0.2323	0.2166	0.0187	99.2696
Jan.15	HB6_cpx6_5 	51.82	0.8696	3.67	7.51	0.1957	15.19	19.18	0.2435	0.1725	0.0321	98.8834
Jan.15	HB6_cpx6_6 	52.11	0.7434	3.18	7.42	0.1967	15.47	19.23	0.2176	0.1519	0.0207	98.7403
Jan.15	HB6_cpx6_7 	51.87	0.7745	3.38	7.83	0.1904	15.61	18.72	0.2384	0.1208	0.008	98.7421
Jan.15	HB6_cpx6_8 	51.81	0.7979	3.68	8.03	0.1994	15.53	18.38	0.2616	0.0957	0.0088	98.7934
Jan.15	HB6_cpx6_9 	51.83	0.7363	3.77	7.88	0.2107	15.26	18.83	0.2607	0.1131	0.0187	98.9095
Jan.15	HB6_cpx6_10 	52.12	0.7276	3.32	7.43	0.1785	15.52	19.3	0.2655	0.1381	0.0243	99.024
Jan.15	HB6_cpx6_11 	52.52	0.7962	2.85	8.06	0.2004	15.42	19.1	0.2034	0.0937	0.0225	99.2662
Jan.15	HB6_cpx6_12 	52.18	0.8471	3.09	8.43	0.2505	15.39	18.5	0.1921	0.11	0.0182	99.0079
